wav,scat,abs
400,8.4931984389343e-17,2.77336152562489e-15
401,8.40453559152955e-17,2.76618081632036e-15
402,8.31443349633027e-17,2.75853720507787e-15
403,8.22323401460608e-17,2.75051264873529e-15
404,8.13126612592498e-17,2.74218833605148e-15
405,8.03884513300531e-17,2.73364456715806e-15
406,7.94627221264843e-17,2.72496065035392e-15
407,7.85383428862121e-17,2.71621481596741e-15
408,7.76180420182811e-17,2.7074841467967e-15
409,7.67044115335365e-17,2.6988445244394e-15
410,7.57999139043775e-17,2.69037058832815e-15
411,7.49063768932963e-17,2.68211709008302e-15
412,7.40238060734245e-17,2.6740743671074e-15
413,7.31518458430643e-17,2.66621930591135e-15
414,7.2290161698625e-17,2.65852908697119e-15
415,7.14384374366571e-17,2.65098121927755e-15
416,7.05963727377277e-17,2.64355357226026e-15
417,6.97636811054958e-17,2.63622440523642e-15
418,6.89400881365868e-17,2.62897239446199e-15
419,6.81253300988387e-17,2.62177665780781e-15
420,6.73191527968512e-17,2.61461677725584e-15
421,6.65213081745741e-17,2.60747451227635e-15
422,6.57315477042386e-17,2.60033778572727e-15
423,6.49496289394244e-17,2.59319598403168e-15
424,6.41753171048237e-17,2.58603871510335e-15
425,6.34083848936888e-17,2.57885581400768e-15
426,6.26486123189652e-17,2.5716373483982e-15
427,6.18957866143828e-17,2.56437362368889e-15
428,6.11497021819107e-17,2.55705518791958e-15
429,6.0410160582092e-17,2.54967283626936e-15
430,5.9676970625165e-17,2.54221761672465e-15
431,5.89503760877586e-17,2.53469176045965e-15
432,5.8232046337769e-17,2.52713464315607e-15
433,5.75238813808744e-17,2.5195932481138e-15
434,5.68276999026338e-17,2.51211426269414e-15
435,5.61452420022227e-17,2.50474407664793e-15
436,5.5478172533838e-17,2.49752878689839e-15
437,5.48280850167222e-17,2.49051420886961e-15
438,5.41965060774476e-17,2.48374589444776e-15
439,5.35849003913311e-17,2.47726915666293e-15
440,5.29946758200344e-17,2.47112909458684e-15
441,5.24254007315724e-17,2.46532714786467e-15
442,5.18706683454132e-17,2.45971792281091e-15
443,5.13230436458781e-17,2.45412562271099e-15
444,5.0775351000387e-17,2.44837510278636e-15
445,5.02206712969044e-17,2.44229190957303e-15
446,4.9652348143737e-17,2.43570240262013e-15
447,4.90640026413659e-17,2.42843396053999e-15
448,4.84495561978552e-17,2.42031527325481e-15
449,4.78032607941036e-17,2.4111767219809e-15
450,4.71197364094456e-17,2.40085085904089e-15
451,4.63964191605586e-17,2.38924066039633e-15
452,4.56390406268752e-17,2.37647847968245e-15
453,4.48548212576825e-17,2.36274298316163e-15
454,4.40506742910751e-17,2.34821024416668e-15
455,4.32331709665241e-17,2.33305319171482e-15
456,4.240851777811e-17,2.3174411729894e-15
457,4.15825448348541e-17,2.30153962510125e-15
458,4.0760704319951e-17,2.28550985037522e-15
459,3.99480780186254e-17,2.26950888860267e-15
460,3.91493926948494e-17,2.25368947268052e-15
461,3.83678217851841e-17,2.23816206184226e-15
462,3.76022848316386e-17,2.22290655582138e-15
463,3.68509297803763e-17,2.20787489761729e-15
464,3.61120160816308e-17,2.19301783853398e-15
465,3.53839103320295e-17,2.178284738347e-15
466,3.4665082531383e-17,2.16362335575623e-15
467,3.39541029371747e-17,2.14897962979335e-15
468,3.3249639503726e-17,2.13429745307909e-15
469,3.25504558967396e-17,2.1195184381244e-15
470,3.18554102071924e-17,2.10458168204686e-15
471,3.11641526421208e-17,2.0894444042137e-15
472,3.04786835846305e-17,2.07413156069334e-15
473,2.98013861552941e-17,2.05868205231725e-15
474,2.91345276009495e-17,2.04313450083905e-15
475,2.84802633647974e-17,2.02752740653571e-15
476,2.7840641739716e-17,2.01189928824825e-15
477,2.72176091256507e-17,1.99628880779507e-15
478,2.66130159158517e-17,1.98073488073739e-15
479,2.60286230393848e-17,1.96527677549767e-15
480,2.54661092301515e-17,1.94995420432606e-15
481,2.49272898063397e-17,1.93481527113629e-15
482,2.44145943065625e-17,1.91993548402519e-15
483,2.39304877398653e-17,1.90539806881853e-15
484,2.34773370198432e-17,1.89128882058534e-15
485,2.30574298998217e-17,1.87769629575166e-15
486,2.26729960105384e-17,1.86471201259576e-15
487,2.23262300640699e-17,1.85243066529791e-15
488,2.20193172997719e-17,1.84095035596651e-15
489,2.1754461269425e-17,1.83037284815656e-15
490,2.15339138706428e-17,1.82080383503422e-15
491,2.13589173378242e-17,1.81230738747408e-15
492,2.12272188089e-17,1.80479916147168e-15
493,2.11359500124046e-17,1.79816573891104e-15
494,2.10823386973547e-17,1.79229564923253e-15
495,2.10636686929862e-17,1.78707905591231e-15
496,2.10772430425961e-17,1.78240749742703e-15
497,2.11203502598025e-17,1.77817369035586e-15
498,2.11902338834455e-17,1.77427140368029e-15
499,2.12840656188962e-17,1.77059541446387e-15
500,2.13989226450961e-17,1.76704156376635e-15
501,2.15327035175512e-17,1.76354364503114e-15
502,2.16863228430006e-17,1.76015809800155e-15
503,2.18613434159732e-17,1.75696725263702e-15
504,2.20593601733557e-17,1.75405390767979e-15
505,2.22820160208914e-17,1.75150099571292e-15
506,2.25310235241182e-17,1.74939130911641e-15
507,2.28081943503346e-17,1.74780733590727e-15
508,2.31154788096562e-17,1.74683127167631e-15
509,2.345501834031e-17,1.74654529442166e-15
510,2.38292140263047e-17,1.74703220207152e-15
511,2.42396936145834e-17,1.74833116258013e-15
512,2.46846973723233e-17,1.75033397939028e-15
513,2.51618419099235e-17,1.75290335018291e-15
514,2.56688612560926e-17,1.75590474784336e-15
515,2.62036068682011e-17,1.75920787800093e-15
516,2.67640363023205e-17,1.76268805441415e-15
517,2.73481858113253e-17,1.766227348406e-15
518,2.79541228796112e-17,1.76971536827608e-15
519,2.8579876077296e-17,1.77304954111803e-15
520,2.92233418287778e-17,1.7761348104299e-15
521,2.98831472732901e-17,1.7789079456526e-15
522,3.05609924255867e-17,1.78139434474265e-15
523,3.1259384316132e-17,1.78364209376326e-15
524,3.19809832555278e-17,1.78570443483543e-15
525,3.27285623872486e-17,1.78763893260833e-15
526,3.35049662838525e-17,1.78950649053019e-15
527,3.4313070676741e-17,1.79137026235773e-15
528,3.5155745324994e-17,1.79329451044977e-15
529,3.60358217804041e-17,1.79534346399983e-15
530,3.69560673903796e-17,1.79758022697571e-15
531,3.7919022032456e-17,1.80006401388102e-15
532,3.8926613513275e-17,1.80284514126992e-15
