wav,scat,abs
400,9.15626403287789e-17,2.89377776835184e-15
401,9.0607401559742e-17,2.88632562843793e-15
402,8.9636800757951e-17,2.87839492558916e-15
403,8.86544071604325e-17,2.87006763786829e-15
404,8.76636563713799e-17,2.86142499508996e-15
405,8.66678419693015e-17,2.8525473589631e-15
406,8.56701107021568e-17,2.84351411765644e-15
407,8.46734610225125e-17,2.83440359461528e-15
408,8.36807447090817e-17,2.82529297124218e-15
409,8.26946713230557e-17,2.81625822284724e-15
410,8.17178151908505e-17,2.80737406478963e-15
411,8.07521005641382e-17,2.79869550571692e-15
412,7.97975917282038e-17,2.79021383173492e-15
413,7.88539826697562e-17,2.78190700300127e-15
414,7.79209867955967e-17,2.77375325111053e-15
415,7.69983341146396e-17,2.76573112110602e-15
416,7.60857688095317e-17,2.7578195100036e-15
417,7.51830471710084e-17,2.74999770200086e-15
418,7.42899358702967e-17,2.74224540047413e-15
419,7.34062105467807e-17,2.73454275680411e-15
420,7.25316546886934e-17,2.72687039622444e-15
421,7.16660504478372e-17,2.719210996381e-15
422,7.08091585486476e-17,2.7115529417486e-15
423,6.99607411891808e-17,2.70388598927964e-15
424,6.91205679405914e-17,2.69620012593085e-15
425,6.82884155507592e-17,2.68848557467288e-15
426,6.74640678024288e-17,2.68073280012851e-15
427,6.66473154220379e-17,2.67293251380096e-15
428,6.58379560355384e-17,2.6650756788513e-15
429,6.50357941676387e-17,2.65715351438139e-15
430,6.42406413463315e-17,2.64915750077146e-15
431,6.34527719555179e-17,2.64109059220517e-15
432,6.26739785865512e-17,2.63299383525991e-15
433,6.19062978658445e-17,2.6249160464302e-15
434,6.11516779902809e-17,2.61690570201224e-15
435,6.04119817411783e-17,2.60901093713432e-15
436,5.96889901469605e-17,2.60127955154729e-15
437,5.89844067515606e-17,2.59375902224527e-15
438,5.82998624486005e-17,2.58649652298439e-15
439,5.76369208449643e-17,2.57953895076904e-15
440,5.69970838275413e-17,2.57293295251617e-15
441,5.63798760670901e-17,2.56667971630701e-15
442,5.57784030228362e-17,2.56062766111999e-15
443,5.51846693132082e-17,2.55459367523611e-15
444,5.45909624637241e-17,2.54839544124355e-15
445,5.39898496805267e-17,2.54185147824679e-15
446,5.33741843919071e-17,2.53478127180243e-15
447,5.27371220132287e-17,2.52700549335846e-15
448,5.20721443491693e-17,2.51834631071754e-15
449,5.1373091976133e-17,2.50862779064391e-15
450,5.06342042710827e-17,2.49767640549428e-15
451,4.98527346966712e-17,2.48539138061282e-15
452,4.90348016644386e-17,2.47190841995711e-15
453,4.81881134784405e-17,2.45741092305231e-15
454,4.73200493576474e-17,2.44207957189719e-15
455,4.643762239011e-17,2.4260917610004e-15
456,4.55474552575582e-17,2.40962114148382e-15
457,4.46557677365217e-17,2.39283727449834e-15
458,4.37683749020805e-17,2.37590538795372e-15
459,4.289069493581e-17,2.35898622968871e-15
460,4.20277652353673e-17,2.34223600291385e-15
461,4.11829618219847e-17,2.32576718909823e-15
462,4.0355115956002e-17,2.30955756379657e-15
463,3.95422375548173e-17,2.2935561363293e-15
464,3.87424590498905e-17,2.27771077348279e-15
465,3.79540307686136e-17,2.26196800104067e-15
466,3.71753169936004e-17,2.24627279741438e-15
467,3.64047926775118e-17,2.23056838019476e-15
468,3.56410407954942e-17,2.21479598669159e-15
469,3.48827503211713e-17,2.19889464984386e-15
470,3.41287149560413e-17,2.1828009753096e-15
471,3.33785878221687e-17,2.16647107054397e-15
472,3.26345636022463e-17,2.14993306311789e-15
473,3.1899245853217e-17,2.13322977819912e-15
474,3.11751069893926e-17,2.11640360151625e-15
475,3.04644925655748e-17,2.09949663311474e-15
476,2.97696262430999e-17,2.08255082377763e-15
477,2.90926154506579e-17,2.06560809603977e-15
478,2.84354577559532e-17,2.04871045178411e-15
479,2.78000479671336e-17,2.03190006843954e-15
480,2.71881860290314e-17,2.01521938738271e-15
481,2.66018126109356e-17,1.99871948153416e-15
482,2.60435221116449e-17,1.98248000438342e-15
483,2.55159378223456e-17,1.96658831540668e-15
484,2.50215680210767e-17,1.95113402459917e-15
485,2.45628264081547e-17,1.93620917909133e-15
486,2.41420547111006e-17,1.92190845875379e-15
487,2.37615474944193e-17,1.9083293855723e-15
488,2.3423579219648e-17,1.89557255066718e-15
489,2.31304336197344e-17,1.88374186173014e-15
490,2.28844352467464e-17,1.87294480283183e-15
491,2.26868303868153e-17,1.86324590441873e-15
492,2.25351652460709e-17,1.85455800432955e-15
493,2.24263406084614e-17,1.84676460375881e-15
494,2.23573653362067e-17,1.83975161537756e-15
495,2.23253143845257e-17,1.83340705651511e-15
496,2.23272902205801e-17,1.82762079783098e-15
497,2.23603876820943e-17,1.82228437427482e-15
498,2.24216624437237e-17,1.81729086648631e-15
499,2.25081033737964e-17,1.8125348618476e-15
500,2.26166093663998e-17,1.80791251307098e-15
501,2.27449479302864e-17,1.80335865880713e-15
502,2.28940439762814e-17,1.79893175463833e-15
503,2.30654916942034e-17,1.7947160256083e-15
504,2.32609072271879e-17,1.79079578663314e-15
505,2.34819429270713e-17,1.78725504905044e-15
506,2.37303070100428e-17,1.7841771691065e-15
507,2.40077903920262e-17,1.78164458067427e-15
508,2.43163029404407e-17,1.77973867027584e-15
509,2.46579218874389e-17,1.77853987176882e-15
510,2.50349554232003e-17,1.77812807028184e-15
511,2.54488646119687e-17,1.77853802286484e-15
512,2.58975633822405e-17,1.77965578812881e-15
513,2.63782985956789e-17,1.78133775887634e-15
514,2.68884210711311e-17,1.78344262093022e-15
515,2.74253895726923e-17,1.78583282873372e-15
516,2.79867661909116e-17,1.78837608086276e-15
517,2.85701984874229e-17,1.79094666870012e-15
518,2.91733841577583e-17,1.79342656268047e-15
519,2.97940149107343e-17,1.7957061038878e-15
520,3.04296980548763e-17,1.79768419350312e-15
521,3.10788412309393e-17,1.79929221732719e-15
522,3.17430069737846e-17,1.80054852631495e-15
523,3.24246078025634e-17,1.80149414097713e-15
524,3.31262474498997e-17,1.8021759599912e-15
525,3.38506813183262e-17,1.80264614180841e-15
526,3.46007735470164e-17,1.80296128381872e-15
527,3.53794527981913e-17,1.8031814322767e-15
528,3.61896690170937e-17,1.8033689684664e-15
529,3.70343533635788e-17,1.80358742484117e-15
530,3.79163832291942e-17,1.80390028772236e-15
531,3.88384122868437e-17,1.8043682960728e-15
532,3.98024852159851e-17,1.80504482131961e-15
533,4.08103196639124e-17,1.80597876685025e-15
534,4.18633740572242e-17,1.80721460033865e-15
535,4.29628367980863e-17,1.8087915483511e-15
536,4.41096229679536e-17,1.81074299008513e-15
537,4.53043773465836e-17,1.81309604367022e-15
538,4.65474823774861e-17,1.81587132801289e-15
539,4.78390696724944e-17,1.81908287606846e-15
540,4.91790338575827e-17,1.82273817387464e-15
541,5.05675747736526e-17,1.82684700357986e-15
542,5.20065440167537e-17,1.83144277051045e-15
543,5.34983182532999e-17,1.83656249013855e-15
544,5.50455116471492e-17,1.84224172958513e-15
545,5.66510123089056e-17,1.84851503602371e-15
546,5.83180192292321e-17,1.85541634728853e-15
547,6.00500801802226e-17,1.8629793842671e-15
548,6.18511311545891e-17,1.87123802629665e-15
549,6.37255379903335e-17,1.8802266720168e-15
550,6.56781408510223e-17,1.8899805894391e-15
551,6.77141050689864e-17,1.90053770583808e-15
552,6.98384687159871e-17,1.91194238029434e-15
553,7.20566079700909e-17,1.92424228187671e-15
554,7.43744012154602e-17,1.9374878253997e-15
555,7.6798278692846e-17,1.9517325422639e-15
556,7.93352774318452e-17,1.96703347469773e-15
557,8.19931023156855e-17,1.98345159891514e-15
558,8.47801942463115e-17,2.00105228331252e-15
559,8.77058065162247e-17,2.01990578852882e-15
560,9.07800896418988e-17,2.0400878055203e-15
561,9.40106627249818e-17,2.06164069463894e-15
562,9.73938285932878e-17,2.08447857405075e-15
563,1.00922041036769e-16,2.10847664611841e-15
564,1.04585780598935e-16,2.13349397085659e-15
565,1.0837330073052e-16,2.15937194723331e-15
566,1.12270372189119e-16,2.18593284801639e-15
567,1.16260032285741e-16,2.21297845384641e-15
568,1.20322347289055e-16,2.24028884382619e-15
569,1.24434198105565e-16,2.26762141157495e-15
570,1.2856910441564e-16,2.29471022005418e-15
571,1.32707696897089e-16,2.32137336854963e-15
572,1.36863902008495e-16,2.34777080666971e-15
573,1.41061884992206e-16,2.37415641438993e-15
574,1.45329860600374e-16,2.40081224014062e-15
575,1.49700326400359e-16,2.42804935914274e-15
576,1.54210377593976e-16,2.45620936826349e-15
577,1.58902127030888e-16,2.48566665887395e-15
578,1.63823258352049e-16,2.51683163312486e-15
579,1.69027745864261e-16,2.55015506123667e-15
580,1.74576777602331e-16,2.58613377756981e-15
581,1.80524941264502e-16,2.62518291127153e-15
582,1.86884098707417e-16,2.66731740338105e-15
583,1.93655647033342e-16,2.71245779903624e-15
584,2.00838878360141e-16,2.76050852744665e-15
585,2.084303766584e-16,2.8113539009777e-15
586,2.16423353124913e-16,2.86485383650667e-15
587,2.24806920046284e-16,2.92083931114802e-15
588,2.33565306095504e-16,2.97910758408289e-15
