wav,scat,abs
400,8.82242037264085e-17,2.8338925479456e-15
401,8.73035058748725e-17,2.82657495556886e-15
402,8.63679326449877e-17,2.81878651806958e-15
403,8.54209778693994e-17,2.81060921517243e-15
404,8.44660041585699e-17,2.80212426842616e-15
405,8.35062347283706e-17,2.79341202093089e-15
406,8.25447487514851e-17,2.78455183293744e-15
407,8.1584479988038e-17,2.77562199309566e-15
408,8.06282184453745e-17,2.76669964491394e-15
409,7.96786148191317e-17,2.75786072778838e-15
410,7.87381874117426e-17,2.74917992947023e-15
411,7.78088120679313e-17,2.74071213784245e-15
412,7.68905233599225e-17,2.73244816536701e-15
413,7.59829900914991e-17,2.72436543451844e-15
414,7.50859013381075e-17,2.71644165041226e-15
415,7.41989636407252e-17,2.70865483916033e-15
416,7.33218985851311e-17,2.70098338316264e-15
417,7.24544407398497e-17,2.69340605349592e-15
418,7.15963359282461e-17,2.68590203949077e-15
419,7.07473398121829e-17,2.67845097552822e-15
420,6.99072167656044e-17,2.67103296525084e-15
421,6.90757336142013e-17,2.66363022732664e-15
422,6.82526463541227e-17,2.65623091499373e-15
423,6.74377147894949e-17,2.64882459951063e-15
424,6.66307062538192e-17,2.64140107804785e-15
425,6.5831395410419e-17,2.63395037952962e-15
426,6.50395641069489e-17,2.62646277017627e-15
427,6.42550012801944e-17,2.61892875870838e-15
428,6.34775029075171e-17,2.61133910117033e-15
429,6.27068720014165e-17,2.60368480532935e-15
430,6.19429187070876e-17,2.5959571361779e-15
431,6.11859020107481e-17,2.58815868946493e-15
432,6.0437552549964e-17,2.58032968642885e-15
433,5.96998382605868e-17,2.57251803823013e-15
434,5.89746422203682e-17,2.56477133757653e-15
435,5.82637655220776e-17,2.55713685740541e-15
436,5.7568930774787e-17,2.54966155618019e-15
437,5.68917861923067e-17,2.54239208988094e-15
438,5.62339102306194e-17,2.53537483076669e-15
439,5.55968167395527e-17,2.52865589298764e-15
440,5.49819603141723e-17,2.52228115839853e-15
441,5.43888876118559e-17,2.51625193937471e-15
442,5.38109494640705e-17,2.51041971313824e-15
443,5.32404323917836e-17,2.50460498377407e-15
444,5.26698939960579e-17,2.49862897949146e-15
445,5.20921599156673e-17,2.49231369348105e-15
446,5.1500330199056e-17,2.48548200989457e-15
447,5.08877945732335e-17,2.477957916849e-15
448,5.02482560523504e-17,2.46956680813465e-15
449,4.95757622604897e-17,2.46013587495115e-15
450,4.88647441568888e-17,2.44949459965015e-15
451,4.81125472427771e-17,2.43754406856856e-15
452,4.73250955007845e-17,2.42441833959671e-15
453,4.65098519650141e-17,2.41029848244407e-15
454,4.56739615574384e-17,2.39536290977135e-15
455,4.48242151737835e-17,2.3797868160795e-15
456,4.39670261742878e-17,2.36374173064415e-15
457,4.31084183155035e-17,2.34739517981623e-15
458,4.22540240819761e-17,2.33091045280206e-15
459,4.14090923532972e-17,2.31444646419383e-15
460,4.05785041452661e-17,2.29815769936212e-15
461,3.97655334348764e-17,2.28215563656656e-15
462,3.89690558111675e-17,2.26641909964145e-15
463,3.81871505585677e-17,2.25089854694839e-15
464,3.74180139357457e-17,2.23554327010269e-15
465,3.66599546880849e-17,2.22030119482703e-15
466,3.59113902062867e-17,2.20511867302774e-15
467,3.51708433118159e-17,2.18994026684364e-15
468,3.44369396537482e-17,2.17470852565343e-15
469,3.37084057053856e-17,2.15936375733656e-15
470,3.29840674875619e-17,2.14384379938559e-15
471,3.22635765634077e-17,2.1281053078386e-15
472,3.15490297001097e-17,2.11217483550607e-15
473,3.08429193736519e-17,2.09609325948759e-15
474,3.01476145971325e-17,2.07990109686528e-15
475,2.94653650949823e-17,2.06363866035225e-15
476,2.87983061093506e-17,2.04734619647452e-15
477,2.81484638550326e-17,2.03106400821706e-15
478,2.75177616433611e-17,2.01483256411767e-15
479,2.69080266982259e-17,1.99869259581796e-15
480,2.63209977318113e-17,1.98268518761966e-15
481,2.57585520600906e-17,1.96685993549401e-15
482,2.52232007795528e-17,1.95129443046903e-15
483,2.47174871288266e-17,1.936073973083e-15
484,2.4243847779624e-17,1.92128626980883e-15
485,2.38046325035923e-17,1.90702162185706e-15
486,2.34021259726645e-17,1.89337312258933e-15
487,2.30385717420441e-17,1.88043686850283e-15
488,2.27161984759019e-17,1.86831218791177e-15
489,2.24372484957991e-17,1.85710189044272e-15
490,2.22040085352188e-17,1.8469125298641e-15
491,2.20177215146576e-17,1.83780836564511e-15
492,2.18760337807561e-17,1.8297036103448e-15
493,2.17759614055194e-17,1.82248327585524e-15
494,2.17146224262187e-17,1.81603455680384e-15
495,2.1689195900216e-17,1.81024652066071e-15
496,2.1696884202333e-17,1.80500985294371e-15
497,2.173487860715e-17,1.80021666474497e-15
498,2.18003283288353e-17,1.79576037118283e-15
499,2.18903133040539e-17,1.79153565047314e-15
500,2.20018213002148e-17,1.78743850197986e-15
501,2.21326847541474e-17,1.78340323885962e-15
502,2.228382134329e-17,1.77948726377548e-15
503,2.24568069273854e-17,1.77577378722386e-15
504,2.26532441129417e-17,1.77234628211784e-15
505,2.28747772650517e-17,1.76928811719777e-15
506,2.31231131531429e-17,1.76668224161471e-15
507,2.34000490661283e-17,1.76461096634088e-15
508,2.37075106930706e-17,1.76315590460914e-15
509,2.40476025700482e-17,1.76239815359299e-15
510,2.44226741545857e-17,1.76241881226777e-15
511,2.48342650652867e-17,1.76325459305209e-15
512,2.5280450011528e-17,1.76479424974962e-15
513,2.5758659404071e-17,1.76689717645997e-15
514,2.62664351702211e-17,1.76942531846155e-15
515,2.6801432966346e-17,1.77224464795812e-15
516,2.73614143996779e-17,1.77522659998234e-15
517,2.79442245506963e-17,1.77824933240091e-15
518,2.85477506472607e-17,1.7811986690403e-15
519,2.91698589047829e-17,1.78396859465336e-15
520,2.98083085607001e-17,1.78646120328551e-15
521,3.04616245153887e-17,1.78861077803083e-15
522,3.11314430991886e-17,1.79043933079233e-15
523,3.18202283783301e-17,1.79199155850883e-15
524,3.25306161199046e-17,1.7933176974289e-15
525,3.32653734459643e-17,1.79447278798349e-15
526,3.40273563426903e-17,1.79551576192304e-15
527,3.4819467152948e-17,1.79650839195386e-15
528,3.56446142039545e-17,1.79751415334634e-15
529,3.65056755600771e-17,1.79859705183349e-15
530,3.74054685301336e-17,1.79982047165047e-15
531,3.83465832981623e-17,1.80124444351532e-15
532,3.93309985477684e-17,1.80292084151555e-15
533,4.03603695873654e-17,1.8048966013991e-15
534,4.14361008575399e-17,1.8072139330461e-15
535,4.25593384214403e-17,1.809909630964e-15
536,4.37309690819025e-17,1.81301457427999e-15
537,4.49516249100435e-17,1.81655340447234e-15
538,4.62216918639754e-17,1.82054436070651e-15
539,4.75413211887825e-17,1.82499924744017e-15
540,4.89104425300072e-17,1.82992350907095e-15
541,5.032930960863e-17,1.8353254564781e-15
542,5.17998590145559e-17,1.84123850829228e-15
543,5.3324575401748e-17,1.84770035918309e-15
544,5.49062014957323e-17,1.85474769137079e-15
545,5.65477749915577e-17,1.86241659827488e-15
546,5.82526662762365e-17,1.87074299116782e-15
547,6.00246175086869e-17,1.87976298973388e-15
548,6.18677836726706e-17,1.88951329882811e-15
549,6.37867762967792e-17,1.90003157477172e-15
550,6.57867105608381e-17,1.91135678565769e-15
551,6.78730537642745e-17,1.92353089347554e-15
552,7.00511615349041e-17,1.93660235351997e-15
553,7.23267574319341e-17,1.9506233111691e-15
554,7.47061040121736e-17,1.96564914541568e-15
555,7.71960568258181e-17,1.98173887552535e-15
556,7.98041243966176e-17,1.9989555978951e-15
557,8.2538535136498e-17,2.01736695944522e-15
558,8.54083122809843e-17,2.03704567461523e-15
559,8.84233580936241e-17,2.05807009389664e-15
560,9.15945477384498e-17,2.08052482067313e-15
561,9.4930219225023e-17,2.10445965286989e-15
562,9.84271373682531e-17,2.12978867105835e-15
563,1.02078106666083e-16,2.15638449130844e-15
564,1.05873876647142e-16,2.18410222474157e-15
565,1.09802864484455e-16,2.21277770194468e-15
566,1.13850873486196e-16,2.24222574058094e-15
567,1.18000814384466e-16,2.27223850732166e-15
568,1.22232438255208e-16,2.30258403857411e-15
569,1.2652209194997e-16,2.33300499811662e-15
570,1.30842512376297e-16,2.36321779858679e-15
571,1.35173681543261e-16,2.39302744778426e-15
572,1.39530109881303e-16,2.42260463107336e-15
573,1.43937046671587e-16,2.45222171387834e-15
574,1.48424095525523e-16,2.48218268487476e-15
575,1.53025488064707e-16,2.51282431994631e-15
576,1.57780447460177e-16,2.54451806213662e-15
577,1.6273366845694e-16,2.57767278532916e-15
578,1.67935945513619e-16,2.61273863876039e-15
579,1.73444987340277e-16,2.65021220890085e-15
580,1.79326460052801e-16,2.69064324149697e-15
581,1.85639525257862e-16,2.73449649005645e-15
582,1.92398702483392e-16,2.78180474190609e-15
583,1.99607616090734e-16,2.83249878559722e-15
584,2.072677530563e-16,2.88649199455097e-15
585,2.15377799701982e-16,2.94367572313614e-15
586,2.23932903929216e-16,3.00391433473407e-15
587,2.32923861542296e-16,3.06703986847822e-15
588,2.42336228504215e-16,3.13284637392752e-15
589,2.52149365220806e-16,3.20108397104665e-15
590,2.62335427809999e-16,3.27145275811967e-15
591,2.72868861881101e-16,3.34368964123158e-15
592,2.83752172883849e-16,3.41779140715858e-15
593,2.949939767236e-16,3.49381158624807e-15
594,3.06602881178868e-16,3.57180548719124e-15
595,3.18587460994042e-16,3.65183020400903e-15
596,3.30956230513696e-16,3.73394461857792e-15
597,3.43717613700117e-16,3.81820939776213e-15
598,3.56879911372761e-16,3.90468698414255e-15
