wav,scat,abs
400,5.74650278194784e-17,2.32308364503879e-15
401,5.68672209830612e-17,2.3170151220209e-15
402,5.62603428884175e-17,2.3105723951704e-15
403,5.56463532479357e-17,2.30381475451236e-15
404,5.50271398372471e-17,2.29680096063169e-15
405,5.44045135372171e-17,2.2895891603824e-15
406,5.3780205370799e-17,2.282236808279e-15
407,5.3155865400076e-17,2.27480059357455e-15
408,5.25330633455356e-17,2.26733637288181e-15
409,5.19132907902194e-17,2.25989910803783e-15
410,5.12979648029055e-17,2.25254280715815e-15
411,5.06881732018721e-17,2.24530763286316e-15
412,5.00840764205567e-17,2.23818920601151e-15
413,4.94856470180651e-17,2.23117380095041e-15
414,4.88928629099524e-17,2.22424784841145e-15
415,4.83057059670289e-17,2.2173979775102e-15
416,4.77241608211114e-17,2.21061105385432e-15
417,4.71482138637919e-17,2.20387421392007e-15
418,4.65778524253203e-17,2.19717489580292e-15
419,4.60130641216193e-17,2.1905008664004e-15
420,4.54538363559533e-17,2.18384024515805e-15
421,4.49001387906956e-17,2.17718237346585e-15
422,4.43518831175533e-17,2.17051979355339e-15
423,4.38089710886933e-17,2.16384585224031e-15
424,4.32713071229145e-17,2.15715407502244e-15
425,4.27387982319354e-17,2.15043817082426e-15
426,4.22113539749707e-17,2.14369203624485e-15
427,4.16888864395543e-17,2.13690975927323e-15
428,4.11713102466394e-17,2.1300856224466e-15
429,4.0658542578083e-17,2.12321410542474e-15
430,4.01505032635861e-17,2.11628988818084e-15
431,3.96473861632992e-17,2.10931648870114e-15
432,3.9150286740392e-17,2.10232674179158e-15
433,3.86604425880986e-17,2.095359392111e-15
434,3.81790355460276e-17,2.08845284184548e-15
435,3.77071936650657e-17,2.081645152079e-15
436,3.72459935625725e-17,2.07497404957148e-15
437,3.67964631401805e-17,2.06847693894881e-15
438,3.6359584638524e-17,2.06219092031046e-15
439,3.59362980055569e-17,2.05615281226452e-15
440,3.55275043772704e-17,2.05039917493502e-15
441,3.51328903677361e-17,2.04493028581269e-15
442,3.47482043955159e-17,2.03962474526964e-15
443,3.43685255053214e-17,2.03433626942592e-15
444,3.39891129940087e-17,2.02891946798122e-15
445,3.36054041780236e-17,2.02322987740889e-15
446,3.32130181891173e-17,2.01712406715878e-15
447,3.28077654392444e-17,2.01045981954572e-15
448,3.23856623701316e-17,2.0030963837107e-15
449,3.19429510591419e-17,1.99489480360035e-15
450,3.14761234464577e-17,1.98571832813182e-15
451,3.09834957401865e-17,1.9754871789812e-15
452,3.04687264586541e-17,1.96430581628277e-15
453,2.99364310704968e-17,1.95231574175481e-15
454,2.93910262964902e-17,1.9396562363836e-15
455,2.88367078930638e-17,1.92646391988676e-15
456,2.82774359835234e-17,1.91287239302425e-15
457,2.77169273468104e-17,1.89901195900068e-15
458,2.71586540257809e-17,1.88500941921125e-15
459,2.6605847601169e-17,1.87098793786609e-15
460,2.60615083519513e-17,1.85706696428764e-15
461,2.55276322406804e-17,1.84333165594279e-15
462,2.50034746500478e-17,1.82976206897232e-15
463,2.44878010877945e-17,1.81631598656422e-15
464,2.39794571000089e-17,1.80295049516143e-15
465,2.34773655462519e-17,1.78962184451528e-15
466,2.29805243171616e-17,1.77628530508774e-15
467,2.24880044756615e-17,1.76289502357272e-15
468,2.19989488052318e-17,1.74940387749869e-15
469,2.15125707508272e-17,1.73576333011034e-15
470,2.10281538289402e-17,1.72192329036298e-15
471,2.05455305214023e-17,1.7078503717772e-15
472,2.00661450018634e-17,1.69357125440133e-15
473,1.95916934477055e-17,1.67912463029082e-15
474,1.91237804132419e-17,1.66454855361664e-15
475,1.86639213597846e-17,1.64988054534145e-15
476,1.82135457014388e-17,1.63515768673715e-15
477,1.77740003588835e-17,1.62041670313631e-15
478,1.73465538164061e-17,1.60569403938543e-15
479,1.69324006796976e-17,1.59102592851872e-15
480,1.65326667615045e-17,1.57644845649464e-15
481,1.61485574522303e-17,1.5620043934006e-15
482,1.57816788376267e-17,1.54775935040138e-15
483,1.54336418906761e-17,1.53378450237844e-15
484,1.51059717753355e-17,1.52015209325744e-15
485,1.48001208381884e-17,1.50693558006443e-15
486,1.4517482857993e-17,1.49420978710157e-15
487,1.42594085342637e-17,1.48205107322744e-15
488,1.40272221985363e-17,1.47053751435432e-15
